,0.5,1.0,2.0,3.0,5.0
100,2558.6,2392.8,2345.6,2342.3,2285.2
200,2239.1,2249.1,2183.5,2209.2,2180.0
300,2181.3,2172.5,2171.5,2168.4,2173.6
400,2164.3,2159.3,2179.1,2175.7,2176.3
500,2176.5,2182.9,2172.5,2174.7,2179.4
