,0.1,0.2,0.3,0.4,0.5
100,2284.6,2235.1,2196.9,2177.4,2187.9
200,2216.5,2187.7,2176.4,2178.1,2184.0
300,2219.6,2180.7,2189.3,2221.8,2199.5
400,2204.2,2178.6,2218.0,2216.6,2198.7
500,2213.2,2190.3,2196.8,2280.8,2214.2
